time,team_away,team_home,play_text,team_in_poss,poss_id,score_away,score_home,lineup_away,lineup_home,2pt_made_away,2pt_attempt_away,2pt_made_home,2pt_attempt_home,3pt_made_away,3pt_attempt_away,3pt_made_home,3pt_attempt_home,ft_made_away,ft_attempt_away,ft_made_home,ft_attempt_home,d_reb_away,o_reb_away,d_reb_home,o_reb_home,assist_away,assist_home,turnover_away,turnover_home
17:54:00,Maine,Virginia Tech,"chris efretuei, substitution out   ",NULL,9,2,6,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17:54:00,Maine,Virginia Tech,"chris efretuei, freethrow 2of2   made",Maine,10,2,6,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
17:54:00,Maine,Virginia Tech,"chris efretuei, freethrow 1of2   made",Maine,10,1,6,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
17:54:00,Maine,Virginia Tech,"keve aluma, foul personal shooting;2freethrow;  ",Maine,10,0,6,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17:36:00,Maine,Virginia Tech,"keve aluma, 2pt layup pointsinthepaint;  made",Virginia Tech,11,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17:11:00,Maine,Virginia Tech,"lechaun duhart, 2pt drivinglayup pointsinthepaint;  missed",Maine,12,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17:08:00,Maine,Virginia Tech,"nahiem alleyne, rebound defensive   ",Virginia Tech,13,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
17:00:00,Maine,Virginia Tech,"ata turgut, block    ",Virginia Tech,13,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17:00:00,Maine,Virginia Tech,"stephane ingo, rebound defensive   ",Maine,14,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17:00:00,Maine,Virginia Tech,"storm murphy, 2pt pullupjumpshot pointsinthepaint;blocked;  missed",Virginia Tech,15,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16:58:00,Maine,Virginia Tech,"ata turgut, foulon    ",Maine,16,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16:58:00,Maine,Virginia Tech,"storm murphy, foul personal   ",Maine,16,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut']","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16:39:00,Maine,Virginia Tech,"ja'shonte wright-mcleish, substitution in   ",NULL,16,2,8,"['adefolalrin adetogun', 'lechaun duhart', 'stephane ingo', 'vukasin masic', 'ata turgut', ""ja'shonte wright-mcleish""]","['hunter cattoor', 'justyn mutts', 'keve aluma', 'nahiem alleyne', 'storm murphy']",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
