year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,1847821,"buckingham, de'monte",buckingham,de'monte,de'monte buckingham,Sr,G,10,459
2021,1847824,"golden, grant",golden,grant,grant golden,Sr,F,33,575
2021,1847842,"fornes, jaylen",fornes,jaylen,jaylen fornes,Sr,G,1,460
2021,1847904,"maxwell, b.j.",maxwell,b.j.,b.j. maxwell,Sr,G,0,2699
2021,1847951,"cook, aaron",cook,aaron,aaron cook,Sr,G,10,257
2021,1848764,"walton, dallas",walton,dallas,dallas walton,Sr,C,13,749
2021,1848772,"miller, tony",miller,tony,tony miller,Sr,F,32,754
2021,1849381,"coburn, tareq",coburn,tareq,tareq coburn,Sr,G,10,603
2021,1849385,"ayeni, josh",ayeni,josh,josh ayeni,Sr,F,21,693
2021,1849459,"davison, jacob",davison,jacob,jacob davison,Sr,G,10,90
